character,frequency,onyomi,kunyomi,jlpt,meaning
干,1349,カン,ほ.す ほ.し- -ぼ.し ひ.る,2,dry; parch; ebb; recede; interfere; intercede
幹,364,カン,みき,1,tree trunk; main part; talent; capability
患,796,カン,わずら.う,1,afflicted; disease; suffer from; be ill
感,233,カン,,2,emotion; feeling; sensation
慣,1177,カン,な.れる な.らす,2,accustomed; get used to; become experienced
憾,1682,カン,うら.む,1,remorse; regret; be sorry
換,687,カン,か.える -か.える か.わる,2,interchange; period; change; convert; replace; renew
敢,1859,カン,あ.えて あ.えない あ.えず,1,daring; brave; bold; sad; tragic; pitiful
柑,,コン カン,,,citrus; orange
桓,,カン,,,marking post
棺,2161,カン,,1,coffin; casket
款,1854,カン,,1,goodwill; article; section; friendship; collusion
歓,1065,カン,よろこ.ぶ,1,delight; joy
汗,1502,カン,あせ,2,sweat; perspire
漢,1487,カン,,3,Sino-; China
澗,,カン ケン,たに たにみず,,valley river; 10**36
潅,,カン,そそ.ぐ,,pour into; irrigate; shed (tears); flow into; concentrate on
環,409,カン,わ,2,ring; circle; loop
甘,1248,カン,あま.い あま.える あま.やかす うま.い,2,sweet; coax; pamper; be content; sugary
監,408,カン,,1,oversee; official; govt office; rule; administer
看,1060,カン,み.る,2,watch over; see
竿,2416,カン,さお,,pole; rod; scale beam; violin neck
管,517,カン,くだ,2,pipe; tube; wind instrument; drunken talk; control; jurisdiction
